expression,reading,meaning,tags,guid,ความหมาย
踏む,ふむ,"to step on, to tread on",JLPT JLPT_N4,MD)?c2/f%j,"เหยียบย่ำ, เหยียบย่ำ"
～区,～く,"~ district, ~ ward, ~ borough",JLPT JLPT_N4,jyNlO!<_rh,~ เขต ~ วอร์ด ~ บอรอห์
すっと,すっと,"straight, quickly",JLPT JLPT_N4,k|7>>bJ_;p,ตรงไป เร็ว ๆ
盗む,ぬすむ,to steal; to rob,Genki Genki_Ln.21 JLPT JLPT_N4,yRRr.o{S!G,ขโมย; ปล้น
大抵,たいてい,"generally, usually",Genki Genki_Ln.3 JLPT JLPT_N4,F4RWhn9KV7,โดยทั่วไป โดยปกติ
とうとう,とうとう,"finally, at last",JLPT JLPT_N4,b~a!BAlss],ในที่สุด ในที่สุด
ガソリン,ガソリン,"gasoline, petrol",Genki Genki_Ln.21 JLPT JLPT_N4,DtjnF2f-}S,"น้ำมันเบนซิน, น้ำมันเบนซิน"
鳴る,なる,"to sound, to ring (v.i.)",Intermediate_Japanese_Ln.2 JLPT JLPT_N4,N2XM.u#*9T,"ส่งเสียงดัง, ส่งเสียงกังวาน (กริยาไม่ต้องการกรรม)"
しっかり,しっかり,"firmly, steady",JLPT JLPT_N4,s1@<ogH]|l,มั่นคง แน่วแน่
生きる,いきる,to live,JLPT JLPT_N4,PsYPR<^eS},เพื่อที่จะมีชีวิตอยู่
苦い,にがい,bitter,JLPT JLPT_N4,s7onh_qmu>,ขม
沸く,わく,"to boil, to grow hot",JLPT JLPT_N4,PG:x_[8:n{,"เดือด, ร้อนขึ้น"
意見,いけん,"opinion, view, idea",JLPT JLPT_N4,rm|oi`$1Dg,ความคิดเห็น มุมมอง แนวคิด
やはり; やっぱり,やはり; やっぱり,"as I thought, absolutely",JLPT JLPT_N4,uKv@@b~bnv,อย่างที่ฉันคิดไว้ อย่างแน่นอน
漫画,まんが,"comic (book), cartoon",Genki Genki_Ln.14 JLPT JLPT_N4,l|R^YmR+|c,"การ์ตูน (หนังสือการ์ตูน), การ์ตูน"
ステレオ,ステレオ,stereo,JLPT JLPT_N4,j)<hxBenH^,สเตอริโอ
医学,いがく,medical science,JLPT JLPT_N4,j>$AcgpmMe,วิทยาศาสตร์การแพทย์
テキスト,テキスト,text; text book,JLPT JLPT_N4,tNueVeWq/i,ข้อความ; หนังสือเรียน
～月,～つき,month,JLPT JLPT_N4,fmd>SOFFek,เดือน
折る,おる,"to snap, to break; to bend",JLPT JLPT_N4,yVVu7>5}8_,"หัก, แตก; งอ"
～会,～かい,~ meeting,JLPT JLPT_N4,q`5&BgJq(Y,~ การประชุม
うかがう,うかがう,to ask,JLPT JLPT_N4,i(<6VU5W9O,เพื่อถาม
聞こえる,きこえる,"to be heard, to be audible",JLPT JLPT_N4,quf~I<>p>,เพื่อให้ได้ยิน เพื่อให้ได้ยินได้
僕,ぼく,I (used by men towards those of equal or lower status),Genki Genki_Ln.5 JLPT JLPT_N4,sZrMWgN[D[,ฉัน (คำที่ผู้ชายใช้เรียกผู้ที่มีสถานะเท่าเทียมหรือต่ำกว่า)
必ず,かならず,"surely, certainly",Intermediate_Japanese_Ln.8 JLPT JLPT_N4,t=>{J>bIy^,แน่นอน อย่างแน่นอน
壊す,こわす,"to break, to break down",JLPT JLPT_N4,d^9}5OH`;*,"แตกหัก, ทำให้พัง"
怒る,おこる,to get angry; to scold angrily,Genki Genki_Ln.19 JLPT JLPT_N4,Ib^RmCfT#f,โกรธ; ดุด่าอย่างโกรธเคือง
床屋,とこや,barber's (shop),Genki Genki_Ln.10 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,t^jDr`iefA,ร้านตัดผม
オートバイ,オートバイ,motorcycle (lit: auto-bi(ke)),JLPT JLPT_N4,Pt[L]fX^FJ,รถจักรยานยนต์ (แปลตรงตัว: ออโต้ไบค์)
運動,うんどうする,exercise,JLPT JLPT_N4,#ERROR!,ออกกำลังกาย
止む,やむ,"to cease, to stop",JLPT JLPT_N4,i[hf?*~a)V,"หยุด, ยุติ"
もし,もし,if,JLPT JLPT_N4,oLI2n{GVOs,ถ้า
表,おもて,surface; front; outside,JLPT JLPT_N4,qP[jTS0$-o,พื้นผิว; ด้านหน้า; ด้านนอก
大学生,だいがくせい,"college student, university student",Genki Genki_Ln.1 Genki_Ln.8 JLPT JLPT_N4,cCEA>;7p%n,"นักศึกษาวิทยาลัย, นักศึกษามหาวิทยาลัย"
運転手,うんてんしゅ,driver (by occupation),Intermediate_Japanese_Ln.6 JLPT JLPT_N4,c=1Zd>L>/{,คนขับรถ (ตามอาชีพ)
予習,よしゅう,preparation of lessons (for class),Genki Genki_Ln.22 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,A$348:bL<R,การเตรียมบทเรียน (สำหรับชั้นเรียน)
心配,しんぱいする,"worry, concern",JLPT JLPT_N4,reB^;ntMm;,ความกังวล ความห่วงใย
別,べつ,"distinction, different",JLPT JLPT_N4,pvVM*k}K*D,"ความแตกต่าง, ต่างออกไป"
非常に,ひじょうに,extremely; very,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,Ih.~ep.W8C,อย่างมาก; มาก
お宅,おたく,(someone else's) house; home -- polite word for 家 (いえ) --,Genki Genki_Ln.13 Intermediate_Japanese_Ln.7 JLPT JLPT_N4,"G:h,g@5k[b",บ้าน (ของคนอื่น) บ้าน -- คำสุภาพ แปลว่า 家 (いえ) --
柔らかい,やわらかい,"soft (in reference to texture), tender",JLPT JLPT_N4,Mb;<89jf/c,นุ่ม (ในแง่ของเนื้อสัมผัส) อ่อนนุ่ม
拾う,ひろう,"to pick up (something), to find",Genki Genki_Ln.22 JLPT JLPT_N4,A7mxJIkuGg,หยิบ (บางสิ่ง) หา
～ございます,～ございます,"to be (polite), to exist",JLPT JLPT_N4,kMO?quX[B$,เพื่อเป็น (สุภาพ) เพื่อดำรงอยู่
気,き,"spirit, mood",JLPT JLPT_N4,N`FU2bb#2c,จิตวิญญาณ อารมณ์
比べる,くらべる,to compare,JLPT JLPT_N4,OXHWkwV:?8,เพื่อเปรียบเทียบ
ほとんど,ほとんど,"mostly, almost",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,nQ>_aG@b-U,ส่วนใหญ่ เกือบทั้งหมด
つもり,つもり,"intention, plan",JLPT JLPT_N4,fOH84**JB],ความตั้งใจ แผนการ
郊外,こうがい,"suburb, outskirts",JLPT JLPT_N4,m[#TphS~Yp,"ชานเมือง, รอบนอก"
だめ,だめ,"useless, no good, hopeless",JLPT JLPT_N4,F`}=@;2gGr,ไร้ประโยชน์ ไม่มีค่า สิ้นหวัง
売り場,うりば,place where things are sold,JLPT JLPT_N4,g8Zs2)0MYs,สถานที่ขายสินค้า
正月,しょうがつ,"New Year, New Year's Day",JLPT JLPT_N4,z?cV&4IRT$,ปีใหม่ วันปีใหม่
規則,きそく,"rule, regulation",JLPT JLPT_N4,"fX,<9qoCbI",กฎ ระเบียบ
うん,うん,"yes (informal), all right (ok)",Genki Genki_Ln.8 JLPT JLPT_N4,AU=4aGU<;g,"ใช่ (ไม่เป็นทางการ), ตกลง (โอเค)"
発音,はつおん,pronunciation,JLPT JLPT_N4,ij2OK3T1KH,การออกเสียง
焼く,やく,"to bake, to grill",Genki Genki_Ln.21 JLPT JLPT_N4,ze5y7QDk;*,"อบ, ย่าง"
屋上,おくじょう,rooftop,JLPT JLPT_N4,dNyWHH2le2,ดาดฟ้า
失礼,しつれい,"discourtesy, impoliteness; Excuse me",JLPT JLPT_N4,i}rJ2aUEQY,"ความไม่สุภาพ, การไม่พูดจาสุภาพ; ขอโทษค่ะ/ครับ"
ごみ,ごみ,"trash, garbage",Genki Genki_Ln.16 JLPT JLPT_N4,l0zGWz;u*B,"ขยะ, เศษขยะ"
アフリカ,アフリカ,Africa,JLPT JLPT_N4,s(eSC66i0(,แอฟริกา
点,てん,"mark, score, grade; point, dot",Intermediate_Japanese_Ln.5 JLPT JLPT_N4,xl]z9.M3ii,"คะแนน, เกรด; จุด, แต้ม"
一生懸命,いっしょうけんめい,"very hard (as in ""to work hard""), with utmost effort",Intermediate_Japanese_Ln.5 JLPT JLPT_N4,x}#WG:x<B%,"ยากมาก (เช่น ""ทำงานหนัก"") ด้วยความพยายามอย่างสุดกำลัง"
今度,こんど,"now, this time, near future, one of these days, next time",Genki Genki_Ln.9 JLPT JLPT_N4,"c3M,%sgpuH","ตอนนี้, เวลานี้, อนาคตอันใกล้, สักวันหนึ่ง, ครั้งหน้า"
機会,きかい,"chance, opportunity",JLPT JLPT_N4,QN(r}6a#1P,โอกาส
建てる,たてる,to build,JLPT JLPT_N4,p>?r}3Zl{s,เพื่อสร้าง
