expression,reading,meaning,tags,guid,ความหมาย
作法,さほう,"manners, etiquette, propriety",JLPT JLPT_2 JLPT_3,HYeQ[!t+v+,"มารยาท, การวางตัว, ความเหมาะสม"
様々,さまざま,"varied, various",JLPT JLPT_2 JLPT_3,l>?/o{CjV<,หลากหลาย ต่างๆ
冷ます,さます,"to cool, to let cool",JLPT JLPT_2 JLPT_3,m(o0n4^}Z$,"ทำให้เย็นลง, ปล่อยให้เย็นลง"
覚ます,さます,to awaken,JLPT JLPT_2 JLPT_3,t9@aJ[u<UZ,เพื่อปลุกให้ตื่น
冷める,さめる,"to become cool, to wear off",JLPT JLPT_2 JLPT_3,LR.A;82:W|,เพื่อให้เย็นลง เพื่อให้หมดฤทธิ์
覚める,さめる,"to wake, to wake up",JLPT JLPT_2 JLPT_3,Dob+O4(+<L,"ตื่น, ปลุกให้ตื่น"
左右,さゆう,left and right; influence,JLPT JLPT_2 JLPT_3,d8br}6f4&T,ซ้ายและขวา; อิทธิพล
皿,さら,"plate, dish",JLPT Genki_Ln.14 JLPT_3 JLPT_2 Genki,p*f@mDk_ih,"จาน, ชาม"
更に,さらに,"furthermore, moreover",JLPT JLPT_2 JLPT_3,n=YLy+|9V>,นอกจากนี้ ยิ่งไปกว่านั้น
去る,さる,"to leave, to go away",JLPT JLPT_2 JLPT_3,q:@^dVE|Ux,"จากไป, ออกเดินทาง"
猿,さる,monkey,JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki,I;FmV}C|Mm,ลิง
騒ぎ,さわぎ,"uproar, disturbance",JLPT JLPT_2 JLPT_3,"b-,^J/-<a(",ความวุ่นวาย ความโกลาหล
参加,さんか,participation,JLPT JLPT_2 JLPT_3,NJ??D?6U!^,การมีส่วนร่วม
参考,さんこう,"reference, consultation",JLPT JLPT_2 JLPT_3,Han8<B?^r0,การอ้างอิง การปรึกษาหารือ
賛成,さんせい,"approval, agreement",JLPT JLPT_2 JLPT_3,"emfZ/!E,?[",การอนุมัติ ข้อตกลง
酸性,さんせい,acidity,JLPT JLPT_2 JLPT_3,geVhjMXt@#,ความเป็นกรด
酸素,さんそ,oxygen,JLPT JLPT_2 JLPT_3,DM##q[%RFu,ออกซิเจน
氏,し,"family name, lineage",JLPT JLPT_2 JLPT_3,LAOK_nHPS/,"นามสกุล, วงศ์ตระกูล"
詩,し,poem; poetry,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,PI;rr><.*1,บทกวี; กวีนิพนธ์
幸せ,しあわせ,"happiness, blessing",JLPT JLPT_2 JLPT_3,MYpn~@*11o,"ความสุข, พร"
ジーンズ,ジーンズ,jeans,JLPT JLPT_3 JLPT_2 Genki_Ln.2 Genki,o3hhzYEH)l,ยีนส์
ジェット機,ジェットき,jet plane,JLPT JLPT_2 JLPT_3,fS!]EX&j7m,เครื่องบินเจ็ต
四角,しかく,square,JLPT JLPT_2 JLPT_3,J[L(f7xE~B,สี่เหลี่ยม
直に,じかに,"immediately, readily, directly",JLPT JLPT_2 JLPT_3,"Gui,0]IdY5",ทันที อย่างรวดเร็ว โดยตรง
しかも,しかも,"moreover, furthermore, besides, plus",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Intermediate_Japanese_Ln.2,NW!O~u6B#],ยิ่งไปกว่านั้น นอกจากนี้ บวกกับ
四季,しき,four seasons,JLPT JLPT_2 JLPT_3,j=w0weSQi),สี่ฤดู
直,じき,"immediately, soon, shortly",JLPT JLPT_2 JLPT_3,wd?tx<3Bac,ทันที เร็วๆ นี้ ในไม่ช้า
時期,じき,"time, season, period",JLPT JLPT_2 JLPT_3,DJ<W>Fb$j>,เวลา ฤดูกาล ช่วงเวลา
支給,しきゅう,"payment, allowance",JLPT JLPT_2 JLPT_3,MpCDrKuR@c,"การจ่ายเงิน, ค่าเบี้ยเลี้ยง"
至急,しきゅう,"urgent, pressing",JLPT JLPT_2 JLPT_3,"K+,ttKQ<dz",ด่วน เร่งด่วน
しきりに,しきりに,"frequently, repeatedly, eagerly",JLPT JLPT_2 JLPT_3,E|Rw@W(/Em,บ่อยครั้ง ซ้ำแล้วซ้ำเล่า อย่างกระตือรือร้น
刺激,しげき,"stimulus, impetus, incentive",JLPT JLPT_2 JLPT_3,PD*^rLK60i,สิ่งกระตุ้น แรงผลักดัน สิ่งจูงใจ
資源,しげん,resources,JLPT JLPT_2 JLPT_3,m(PG+T&|gr,ทรัพยากร
事件,じけん,"event, affair, incident",JLPT JLPT_2 JLPT_3,MbFCnlA+g8,"เหตุการณ์, เรื่องราว, อุบัติการณ์"
時刻,じこく,"time, hour",JLPT JLPT_2 JLPT_3,"oN.E,s)Z}n","เวลา, ชั่วโมง"
自殺,じさつ,suicide,JLPT JLPT_2 JLPT_3,y#JDw}f8E1,การฆ่าตัวตาย
事実,じじつ,"fact, truth, reality",JLPT JLPT_2 JLPT_3,qUB-Jtt?i`,ข้อเท็จจริง ความจริง ความเป็นจริง
支出,ししゅつ,"expenditure, expenses",JLPT JLPT_2 JLPT_3,PrmuroD(_w,"ค่าใช้จ่าย, รายจ่าย"
事情,じじょう,"circumstances, situation, reasons",JLPT JLPT_2 JLPT_3,B&D.VmCJRe,"สถานการณ์, เหตุผล"
詩人,しじん,poet,JLPT JLPT_2 JLPT_3,J|*bb(L^Qr,กวี
自身,じしん,oneself,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,Mms_kL$qBA,ตัวเอง
沈む,しずむ,to sink; to feel depressed,JLPT JLPT_2 JLPT_3,v(wY-5e=dv,จมดิ่ง; รู้สึกหดหู่
自然,しぜん,"nature, spontaneous",JLPT JLPT_2 JLPT_3,K#D]Lme)]J,"ธรรมชาติ, เกิดขึ้นเองโดยธรรมชาติ"
思想,しそう,"thought, idea",JLPT JLPT_2 JLPT_3,"udM,dvR}EZ","ความคิด, ไอเดีย"
舌,した,tongue,JLPT JLPT_2 JLPT_3,i22E-x*lSS,ลิ้น
次第,しだい,order; circumstances; immediate(ly),JLPT JLPT_2 JLPT_3,m7IQESq>:Z,คำสั่ง; สถานการณ์; ทันที()
従う,したがう,"to abide (by the rules), to obey",JLPT JLPT_2 JLPT_3,jQOK[Z2G2a,ปฏิบัติตาม (กฎระเบียบ) เชื่อฟัง
したがって,したがって,"therefore, consequently",JLPT JLPT_2 JLPT_3,zE+XZL-yO%,ดังนั้น ผลที่ตามมาคือ
親しい,したしい,"intimate, close (e.g., friend)",JLPT JLPT_2 JLPT_3,JLb1]#eUH.,"สนิทสนม, ใกล้ชิด (เช่น เพื่อน)"
質,しつ,"quality, nature (of person)",JLPT JLPT_2 JLPT_3,i9bGgE8&)u,"คุณภาพ, ลักษณะ (ของบุคคล)"
失業,しつぎょう,unemployment,JLPT JLPT_2 JLPT_3,L*e(K1S8y>,การว่างงาน
湿気,しっけ,"moisture, humidity, dampness",JLPT JLPT_2 JLPT_3,mI:_~nX$Y!,"ความชื้น, ความชื้น, ความเปียกชื้น"
実験,じっけん,lab work; experiment,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5,hmPfhao45;,งานในห้องปฏิบัติการ; การทดลอง
実現,じつげん,"implementation, materialization, realization",JLPT JLPT_2 JLPT_3,fGH.>rJnym,การนำไปปฏิบัติ การทำให้เป็นรูปธรรม การทำให้เป็นจริง
実行,じっこう,"practice, execution (e.g., program), realization",JLPT JLPT_2 JLPT_3,O_Qp[P4rQP,การปฏิบัติ การดำเนินการ (เช่น โปรแกรม) การทำให้เป็นจริง
実際,じっさい,in fact; in actuality,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,"B6Z:.Y11k,",ในความเป็นจริง; ตามความเป็นจริง
実施,じっし,"enforcement, carry out, operation",JLPT JLPT_2 JLPT_3,dXLqmB^MiP,"การบังคับใช้, การดำเนินการ, การปฏิบัติการ"
湿度,しつど,humidity,JLPT JLPT_2 JLPT_3,lZGX2R~;Bn,ความชื้น
じっと,じっと,"patiently, quietly",JLPT JLPT_2 JLPT_3,Nkvz[eNt`n,อย่างอดทนและเงียบๆ
実に,じつに,"indeed, truly, surely",JLPT JLPT_2 JLPT_3,I|OQWMaQog,จริงแท้แน่นอน
実は,じつは,actually; in fact,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1,s#X::H+4<F,จริงๆ; ในความเป็นจริง
失望,しつぼう,"disappointment, despair",JLPT JLPT_2 JLPT_3,mi8g|r~Txf,ความผิดหวัง ความสิ้นหวัง
実力,じつりょく,ability; force,JLPT JLPT_2 JLPT_3,F5g81kES4+,ความสามารถ; พลัง
支店,してん,branch store (office),JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki,h*O$^StSa>,สาขา (สำนักงาน)
指導,しどう,"leadership, guidance, coaching",JLPT JLPT_2 JLPT_3,AKsjeKTYcK,ความเป็นผู้นำ การให้คำแนะนำ การฝึกสอน
自動,じどう,"automatic, self-motion",JLPT JLPT_2 JLPT_3,O4.zUw/o_S,อัตโนมัติ เคลื่อนไหวเอง
児童,じどう,"children, juvenile",JLPT JLPT_2 JLPT_3,"e,|tEbv]Zq",เด็ก เยาวชน
品,しな,"thing, article, goods",JLPT JLPT_2 JLPT_3,bDnAvhtlH7,สิ่งของ บทความ สินค้า
支配,しはい,"rule, control, direction",JLPT JLPT_2 JLPT_3,GJx2Cizi1x,"กฎ, การควบคุม, ทิศทาง"
芝居,しばい,"play, drama",JLPT JLPT_2 JLPT_3,gtSlTkyCFW,"ละคร, การแสดง"
しばしば,しばしば,"often, again and again, frequently",JLPT JLPT_2 JLPT_3,oKzAa``eqH,บ่อยครั้ง ซ้ำแล้วซ้ำเล่า บ่อยๆ
芝生,しばふ,lawn,JLPT JLPT_2 JLPT_3,"wbx:,PABM*",สนามหญ้า
支払,しはらい,payment,JLPT JLPT_2 JLPT_3,Ev?:EQ7Ks`,การชำระเงิน
支払う,しはらう,to pay,JLPT JLPT_2 JLPT_3,"ND2,<K].}x",เพื่อจ่าย
死亡,しぼう,death,JLPT JLPT_2 JLPT_3,zYjIN3r3C,ความตาย
資本,しほん,"funds, capital",JLPT JLPT_2 JLPT_3,K]eJp4bmn-,"เงินทุน, ทุน"
姉妹,しまい,sisters,JLPT JLPT_2 JLPT_3,D=K+>4{9gs,พี่สาวน้องสาว
しまった (かん),しまった (かん),Damn it!,JLPT JLPT_2 JLPT_3,lG^NNUo)xn,แย่แล้ว!
自慢,じまん,"pride, boast",JLPT JLPT_2 JLPT_3,I/xy:2]J/|,ความภาคภูมิใจ ความโอ้อวด
地味,じみ,"quiet, plain, conservative",JLPT JLPT_2 JLPT_3,o(yU(Vt?_.,เงียบ เรียบง่าย อนุรักษ์นิยม
示す,しめす,"to show, to indicate",JLPT JLPT_2 JLPT_3,Jd8*LeirRj,เพื่อแสดง เพื่อบ่งชี้
占める,しめる,to take up; to account for,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,r`M6Y4!/$F,หยิบยกขึ้นมา; ชี้แจง
湿る,しめる,"to be wet, to be damp",JLPT JLPT_2 JLPT_3,uFiSD0nBbH,เปียกชื้น
下,しも,"under, below, beneath",JLPT JLPT_2 JLPT_3,"NEdu]f-jA,","ใต้, ข้างล่าง, ใต้"
霜,しも,frost,JLPT JLPT_2 JLPT_3,r%B(k2*%-2,น้ำค้างแข็ง
借金,しゃっきん,"debt, loan, liabilities",JLPT JLPT_2 JLPT_3,HTrhI~ql4k,"หนี้สิน, เงินกู้, ภาระผูกพัน"
しゃべる,しゃべる,"to talk, to chat, to chatter (same as 話す (はなす))",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,xm(;YK[sEF,"พูดคุย, พูดคุย, พูดคุย (เหมือนกับ 話し (ฮะなし))"
週,しゅう,week,JLPT JLPT_2 JLPT_3,"x+o,UuIX0t",สัปดาห์
州,しゅう,"state, province",JLPT JLPT_2 JLPT_3,"P_~2Qd-Z,0",รัฐ จังหวัด
銃,じゅう,gun,JLPT JLPT_2 JLPT_3,g}R=q_AV`],ปืน
周囲,しゅうい,"surroundings, circumference, environs",JLPT JLPT_2 JLPT_3,k;vO#x`Yq;,สภาพแวดล้อม เส้นรอบวง บริเวณโดยรอบ
収穫,しゅうかく,"harvest, crop, ingathering",JLPT JLPT_2 JLPT_3,Q1;gC;3=ME,"การเก็บเกี่ยว, พืชผล, การรวบรวม"
宗教,しゅうきょう,religion,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,h2}ja7i^zZ,ศาสนา
重視,じゅうし,"importance, stress",JLPT JLPT_2 JLPT_3,p)R=DLs-/X,ความสำคัญ ความเครียด
就職,しゅうしょく,finding employment,JLPT JLPT_2 JLPT_3,G#y*V:{2Bq,การหางาน
ジュース,ジュース,"juice, soft drink; deuce",JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki,w1Xid7|yfz,"น้ำผลไม้, น้ำอัดลม; ดิวซ์"
修正,しゅうせい,"amendment, correction",JLPT JLPT_2 JLPT_3,gUKGu[G9oC,การแก้ไข การปรับปรุง
重体,じゅうたい,"seriously ill, critical state",JLPT JLPT_2 JLPT_3,"F]Ml+g6],&",ป่วยหนัก อยู่ในภาวะวิกฤต
渋滞,じゅうたい,"congestion (e.g., traffic), delay",JLPT JLPT_2 JLPT_3,f6HLmc1`E?,"ความแออัด (เช่น การจราจรติดขัด), ความล่าช้า"
重大,じゅうだい,"serious, important",JLPT JLPT_2 JLPT_3,bRTiuj?[St,ร้ายแรง สำคัญ
住宅,じゅうたく,"resident, housing",JLPT JLPT_2 JLPT_3,"bO,.P:9Wr8","ผู้อยู่อาศัย, ที่อยู่อาศัย"
集団,しゅうだん,"group, mass",JLPT JLPT_2 JLPT_3,O[N$vC_)x(,"กลุ่ม, มวลชน"
集中,しゅうちゅう,"concentration, focusing the mind",JLPT JLPT_2 JLPT_3,z{<Xu{#h*c,สมาธิ การจดจ่อจิตใจ
収入,しゅうにゅう,"income, revenue",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,Ow2ez*OE$v,"รายได้, รายรับ"
住民,じゅうみん,"inhabitants, residents",JLPT JLPT_2 JLPT_3,M3~&[?-]c=,"ผู้อยู่อาศัย, ผู้พักอาศัย"
重要,じゅうよう,"important, essential",JLPT JLPT_2 JLPT_3,d;5d4|x2m2,สำคัญ จำเป็น
修理,しゅうり,"repairing, mending",JLPT JLPT_2 JLPT_3,i2Z^HI-&!g,การซ่อมแซม การปะชุน
主義,しゅぎ,"doctrine, cause, principle",JLPT JLPT_2 JLPT_3,mm(7ICuhH@,หลักคำสอน สาเหตุ หลักการ
宿泊,しゅくはく,lodging,JLPT JLPT_2 JLPT_3,sJf/S8qo)G,ที่พัก
手術,しゅじゅつ,surgical operation,JLPT JLPT_2 JLPT_3,O=U-eHfq4I,การผ่าตัด
首相,しゅしょう,Prime Minister,JLPT JLPT_2 JLPT_3,"h%Bt%?=g9,",นายกรัฐมนตรี
手段,しゅだん,"means, way, measure",JLPT JLPT_2 JLPT_3,cG]JN2+6BK,หมายถึง วิธีการ การวัด
主張,しゅちょう,"claim, insistence, assertion",JLPT JLPT_2 JLPT_3,PQKr-g-1[?,"ข้ออ้าง, การยืนกราน, การยืนยัน"
出場,しゅつじょう,participation,JLPT JLPT_2 JLPT_3,u|Gl.@-_{b,การมีส่วนร่วม
出身,しゅっしん,come from,JLPT JLPT_2 JLPT_3,E~$fFKz?VN,มาจาก
出版,しゅっぱん,publication,JLPT JLPT_2 JLPT_3,pHGL?y?[mQ,สิ่งพิมพ์
首都,しゅと,capital city,JLPT JLPT_2 JLPT_3,"pV,3~,Z87[",เมืองหลวง
主婦,しゅふ,housewife,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.1 Genki,cu7/mz5_+B,แม่บ้าน
主要,しゅよう,"chief, main",JLPT JLPT_2 JLPT_3,e/wz>k>*.!,"หัวหน้า, หลัก"
需要,じゅよう,demand,JLPT JLPT_2 JLPT_3,wIb;!:/d[S,ความต้องการ
種類,しゅるい,"variety, kind",JLPT JLPT_2 JLPT_3,yLzP_}wHk~,"หลากหลาย, ชนิด"
順,じゅん,"order, turn",JLPT JLPT_2 JLPT_3,j(7}!qj-R?,"ลำดับ, หมุน"
瞬間,しゅんかん,"moment, second",JLPT JLPT_2 JLPT_3,w74BNqe`C[,ช่วงเวลา วินาที
順調,じゅんちょう,doing well,JLPT JLPT_2 JLPT_3,QTXqs`sU2C,ทำได้ดี
順番,じゅんばん,"turn (in line), order of things",JLPT JLPT_2 JLPT_3,"B3?=*++0m,",ลำดับ (ในแถว) ลำดับของสิ่งต่างๆ
使用,しよう,"use (same as 使うこと (つかうこと)), application, employment, utilization",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,"fv),c7#%~v",ใช้ (เหมือนกับ 使本こと (つかなこと)) การสมัครงาน การจ้าง การใช้ประโยชน์
小,しょう,small,JLPT JLPT_2 JLPT_3,He3e1#-/kV,เล็ก
章,しょう,"chapter, section; medal",JLPT JLPT_2 JLPT_3,Cp$qz7LRQ1,"บท, ส่วน; เหรียญรางวัล"
賞,しょう,"prize, award",JLPT JLPT_2 JLPT_3,ixda5oQQ=r,"รางวัล, เกียรติยศ"
上,じょう,first volume; superior quality; governmental,JLPT JLPT_2 JLPT_3,bjtdx{-WQ5,เล่มแรก; คุณภาพเยี่ยม; ภาครัฐ
障害,しょうがい,"obstacle, impediment",JLPT JLPT_2 JLPT_3,lN`%jCJ3Cv,"อุปสรรค, สิ่งกีดขวาง"
奨学金,しょうがくきん,scholarship,Genki_Ln.16 JLPT JLPT_3 JLPT_2 Genki,Q-*B#$A6L:,ทุนการศึกษา
乗客,じょうきゃく,passenger,JLPT JLPT_2 JLPT_3,F?2lxj<[^L,ผู้โดยสาร
上京,じょうきょう,proceeding to the capital (Tokyo),JLPT JLPT_2 JLPT_3,EmcG8c7y3D,มุ่งหน้าสู่เมืองหลวง (โตเกียว)
状況,じょうきょう,"state of affairs, situation",JLPT JLPT_2 JLPT_3,eJ+`w-qU@C,"สถานการณ์, สภาพการณ์"
条件,じょうけん,"conditions, terms",JLPT JLPT_2 JLPT_3,PesF@2hHde,เงื่อนไข ข้อกำหนด
正午,しょうご,"noon, mid-day",JLPT JLPT_2 JLPT_3,i0$lSUJ-1J,เที่ยงวัน
正直,しょうじき,"honesty, integrity, frankness",JLPT JLPT_2 JLPT_3,l~d^29Cn=%,ความซื่อสัตย์สุจริต ความเที่ยงธรรม ความตรงไปตรงมา
常識,じょうしき,common sense,JLPT JLPT_2 JLPT_3,b?[*`UKS8R,สามัญสำนึก
少女,しょうじょ,young girl,JLPT JLPT_2 JLPT_3,lN;?Tr6q{x,เด็กสาว
少々,しょうしょう,a little; short (time) (formal for 少し (すこし)),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.20 Genki,Ievwu]EUfz,เล็กน้อย; สั้น (เวลา) (ทางการสำหรับ 少し (WSこし))
症状,しょうじょう,"symptoms, condition",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,v+Eb}=L(fE,"อาการ, ภาวะ"
生じる,しょうじる,"to occur, to arise, to be generated",JLPT JLPT_2 JLPT_3,"F/qG4,c8v/","เกิดขึ้น, ปรากฏขึ้น, ถูกสร้างขึ้น"
状態,じょうたい,"condition, situation",JLPT JLPT_2 JLPT_3,u!E?FPG-@p,"สภาพ, สถานการณ์"
上達,じょうたつ,"improvement, advance",JLPT JLPT_2 JLPT_3,Cc{1AI[wlm,การปรับปรุง ความก้าวหน้า
冗談,じょうだん,a joke,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,CllWuV2>%{,เรื่องตลก
上等,じょうとう,"first class, very good",JLPT JLPT_2 JLPT_3,tjn_MUpJQp,ชั้นหนึ่ง ดีมาก
衝突,しょうとつ,"collision, conflict",JLPT JLPT_2 JLPT_3,D@=pGn%86P,"การชนกัน, ความขัดแย้ง"
商人,しょうにん,"trader, shopkeeper, merchant",JLPT JLPT_2 JLPT_3,MlJB*>A^h!,พ่อค้า แม่ค้า เจ้าของร้าน ผู้ประกอบการ
承認,しょうにん,"recognition, approval",JLPT JLPT_2 JLPT_3,"N==,~orf~[",การยอมรับ การอนุมัติ
少年,しょうねん,"boys, juveniles",JLPT JLPT_2 JLPT_3,p6fQoD5WK;,"เด็กผู้ชาย, เยาวชน"
商売,しょうばい,"trade, business, commerce",JLPT JLPT_2 JLPT_3,"LoHl,.u1Y|",การค้า ธุรกิจ พาณิชย์
消費,しょうひ,"consumption, expenditure",JLPT JLPT_2 JLPT_3,r7nT91%)]@,การบริโภค การใช้จ่าย
商品,しょうひん,"commodity, merchandise",JLPT JLPT_2 JLPT_3,w+UOx&@[sL,"สินค้า, ผลิตภัณฑ์"
賞品,しょうひん,"prize, trophy",JLPT JLPT_2 JLPT_3,M}I~*8Gv<&,"รางวัล, ถ้วยรางวัล"
消防,しょうぼう,"fire fighting, fire department",JLPT JLPT_2 JLPT_3,u20O%VZ|ID,"การดับเพลิง, หน่วยดับเพลิง"
情報,じょうほう,"information, (military) intelligence",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,cpG:I1X!x-,"ข้อมูล, ข่าวกรอง (ทางทหาร)"
証明,しょうめい,"proof, verification",JLPT JLPT_2 JLPT_3,l8;-B$4N!G,หลักฐาน การตรวจสอบ
省略,しょうりゃく,"omission, abbreviation, abridgment",JLPT JLPT_2 JLPT_3,jp1y&-#kyn,"การละเว้น, การย่อ, การตัดทอน"
女王,じょおう,queen,JLPT JLPT_2 JLPT_3,furG^[#|I<,ราชินี
職,しょく,employment,JLPT JLPT_2 JLPT_3,"hJY}5,Qu8j",การจ้างงาน
