expression,reading,meaning,tags,guid,ความหมาย
現像,げんぞう,developing (film),JLPT_1 JLPT,v9bha+<cj},กำลังพัฒนา (ฟิล์ม)
原則,げんそく,"principle, general rule",JLPT_1 JLPT,dVC[`t${#`,"หลักการ, กฎทั่วไป"
見地,けんち,point of view,JLPT_1 JLPT,wk)a!>hpi:,มุมมอง
現地,げんち,"actual place, local",JLPT_1 JLPT,G$>SwAUY5:,"สถานที่จริง, ท้องถิ่น"
限定,げんてい,"limit, restriction",JLPT_1 JLPT,o%F/8(![P3,"ขีดจำกัด, ข้อจำกัด"
原点,げんてん,"origin (coordinates, starting point)",JLPT_1 JLPT,bXdt~Sz`DP,จุดกำเนิด (พิกัด จุดเริ่มต้น)
原典,げんてん,"original, source",JLPT_1 JLPT,EB`MVeV|+3,"ต้นฉบับ, แหล่งที่มา"
原爆,げんばく,atomic bomb,JLPT_1 JLPT,qVu!~xa[nC,ระเบิดปรมาณู
原文,げんぶん,"the text, original",JLPT_1 JLPT,w>egRzs&//,ข้อความต้นฉบับ
厳密,げんみつ,"strict, close",JLPT_1 JLPT,k<}V}HBo:Y,เข้มงวด ปิดสนิท
賢明,けんめい,"wisdom, intelligence, prudence",JLPT_1 JLPT,rF6VPIq@Kt,ปัญญา ความฉลาด ความรอบคอบ
倹約,けんやく,"thrift, economy, frugality",JLPT_1 JLPT,G)qGN7wCPF,ความประหยัด ความมัธยัสถ์
原油,げんゆ,crude oil,JLPT_1 JLPT,mqzQ4phBV%,น้ำมันดิบ
兼用,けんよう,"multi-use, combined use",JLPT_1 JLPT,Q[mY;6;Blm,ใช้งานได้หลากหลาย ใช้งานร่วมกัน
権力,けんりょく,"(political) power, authority, influence",JLPT_1 JLPT,zLBVbQJht),"อำนาจทางการเมือง, อิทธิพล, สิทธิอำนาจ"
言論,げんろん,"discussion, speech",JLPT_1 JLPT,j=]X!_Sn:<,การอภิปราย การพูด
故～,こ～,"deceased, late",JLPT_1 JLPT,l<k2Hl<qF:,"ผู้เสียชีวิต, ผู้ล่วงลับ"
語彙,ごい,"vocabulary, glossary",JLPT_1 JLPT,dg-x#L-S>s,"คำศัพท์, อภิธานศัพท์"
恋する,こいする,"to fall in love with, to love",JLPT_1 JLPT,x>yH@(e$>B,"ตกหลุมรัก, รัก"
甲,こう,1st in rank; shell,JLPT_1 JLPT,gr(P$T&hE),อันดับ 1; เปลือกหอย
～光,～こう,light,JLPT_1 JLPT,dR[Ye:I0gD,แสงสว่าง
好意,こうい,"good will, favor, courtesy",JLPT_1 JLPT,f{|~G`MfSc,ความปรารถนาดี ความโปรดปราน ความสุภาพ
行為,こうい,"act, deed, conduct",JLPT_1 JLPT,"x,?`vew_Y^","การกระทำ, การปฏิบัติ, พฤติกรรม"
合意,ごうい,"agreement, consent, mutual understanding",JLPT_1 JLPT,u5DPHkD^67,ข้อตกลง ความยินยอม ความเข้าใจร่วมกัน
工学,こうがく,engineering,JLPT_1 JLPT,nLBSX>%S~{,วิศวกรรม
抗議,こうぎ,"protest, objection",JLPT_1 JLPT,N%yl^:99*x,การประท้วง การคัดค้าน
合議,ごうぎ,"consultation, conference",JLPT_1 JLPT,g]f7CW]TnO,การปรึกษาหารือ การประชุม
皇居,こうきょ,Imperial Palace,JLPT_1 JLPT,s3?rVk?BGD,พระราชวังอิมพีเรียล
好況,こうきょう,"prosperous conditions, healthy economy",JLPT_1 JLPT,w5c/V*0:/6,สภาวะที่เจริญรุ่งเรือง เศรษฐกิจที่แข็งแกร่ง
鉱業,こうぎょう,mining industry,JLPT_1 JLPT,w)+*p6qI~s,อุตสาหกรรมเหมืองแร่
興業,こうぎょう,starting a business; industry,JLPT_1 JLPT,qy~me*:#E{,การเริ่มต้นธุรกิจ; อุตสาหกรรม
高原,こうげん,"tableland, plateau",JLPT_1 JLPT,GF2Ak`BNv1,"ที่ราบสูง, ที่ราบสูง"
交互,こうご,"mutual, reciprocal, alternate",JLPT_1 JLPT,i<WWSGhMtl,"ร่วมกัน, ต่างตอบแทน, สลับกัน"
煌々と,こうこうと,brightly,JLPT_1 JLPT,wYY;?*yl=I,สว่างไสว
考古学,こうこがく,archeology,JLPT_1 JLPT,CYD1fRQ8EC,โบราณคดี
工作,こうさく,"handicraft, maneuvering",JLPT_1 JLPT,wzz*)FRo9<,"งานฝีมือ, การบังคับเรือ"
耕作,こうさく,"cultivation, farming",JLPT_1 JLPT,hB|/|8Uy}2,การเพาะปลูก การทำฟาร์ม
鉱山,こうざん,mine,JLPT_1 JLPT,"KT!enF:=,%",ของฉัน
講習,こうしゅう,"short course, training",JLPT_1 JLPT,g(z7%o&?^,"หลักสูตรระยะสั้น, การฝึกอบรม"
口述,こうじゅつ,verbal statement,JLPT_1 JLPT,C~8oU(cK0?,คำกล่าวด้วยวาจา
控除,こうじょ,"subsidy, deduction",JLPT_1 JLPT,s2uW?Na1t%,"เงินอุดหนุน, การหักลดหย่อน"
交渉,こうしょう,negotiation,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,uv@U[?I@AF,การเจรจา
高尚,こうしょう,"high, noble, refined",JLPT_1 JLPT,Ndw<}.:V2o,สูงส่ง สง่างาม ประณีต
向上,こうじょう,"rise, improvement, progress",JLPT_1 JLPT,Qcz@t2UD0),การเพิ่มขึ้น การปรับปรุง ความก้าวหน้า
